h12,h21,wasserstein,mape,sim_mean_wait_up,sim_mean_wait_down,obs_mean_wait_up,obs_mean_wait_down,n_sim_records,loss
3.0,2.0,2.6568047337278102,0.17916200002916624,10.677621836369696,49.36501490809027,15.808,51.09090909090909,507,2.8359667337569765
1.0,2.0,2.576331360946747,0.28505201753288667,8.759809665792176,44.74328297704903,15.808,51.09090909090909,520,2.8613833784796334
5.0,3.0,2.8211774290369602,0.16296050041497415,10.914202660771592,51.92592562536216,15.808,51.09090909090909,552,2.9841379294519346
0.5,2.0,2.917318367595925,0.12887511074871602,12.000547373748413,51.95404706392079,15.808,51.09090909090909,485,3.046193478344641
4.5,1.5,2.7832796297381206,0.2866404986503274,9.088574637557931,43.51841207385032,15.808,51.09090909090909,505,3.069920128388448
1.0,0.5,2.8679312061051823,0.22314896459501976,9.185493597343056,49.69285373785247,15.808,51.09090909090909,535,3.0910801707002022
4.0,0.5,2.7977048592433205,0.3269741171382539,7.922760533304973,43.16492045419822,15.808,51.09090909090909,495,3.1246789763815745
1.0,2.5,2.95082558467174,0.1864408060931405,11.434041107727909,46.17653235507468,15.808,51.09090909090909,525,3.1372663907648803
5.0,0.5,2.9725208942509154,0.23163743401927334,9.17546245797307,48.85790679389811,15.808,51.09090909090909,514,3.204158328270189
2.5,1.0,2.898546459688692,0.35429749266786753,8.847125769642917,37.385451800120876,15.808,51.09090909090909,563,3.2528439523565598
2.0,1.5,3.0217079928618387,0.26684803125961704,9.441482439573521,44.40025657156793,15.808,51.09090909090909,504,3.2885560241214558
3.0,3.0,2.957160240503912,0.3417580294419428,8.836585600146018,38.700822414725835,15.808,51.09090909090909,496,3.2989182699458546
3.5,0.5,3.1303007889546373,0.17786024885671875,10.625672661716658,52.515890036912964,15.808,51.09090909090909,528,3.308161037811356
1.0,1.5,2.982907267011834,0.3460650992154003,7.735055678010181,41.82082479297017,15.808,51.09090909090909,512,3.328972366227234
2.5,2.5,3.0801484626056834,0.29715690606445266,9.69525685446183,40.483050507874566,15.808,51.09090909090909,499,3.377305368670136
0.5,3.0,3.202806621693182,0.2114502309834062,10.888047307481289,45.38565692076512,15.808,51.09090909090909,514,3.4142568526765884
2.0,3.0,3.0464588543890696,0.3766443099169847,7.458706568742682,39.58933620522477,15.808,51.09090909090909,485,3.4231031643060543
2.5,2.0,3.274225233055136,0.15072432418365495,11.498385605981468,49.61814822341387,15.808,51.09090909090909,497,3.424949557238791
0.5,1.0,3.110056947101482,0.3454649126410807,8.941058180027879,37.98439458590808,15.808,51.09090909090909,532,3.4555218597425625
2.0,2.0,3.3437953838952432,0.12476037529165668,13.56753026186366,56.59803039509103,15.808,51.09090909090909,493,3.4685557591869
3.5,2.0,3.3683967314736534,0.10838300839954078,12.614400845319276,51.8440799701537,15.808,51.09090909090909,525,3.4767797398731943
1.5,2.5,3.3116370808678486,0.16910303778743285,11.033207630585581,52.93820120755578,15.808,51.09090909090909,507,3.4807401186552815
2.5,3.0,3.3440579322746435,0.1425532135066181,13.81856149279164,59.227459207946985,15.808,51.09090909090909,487,3.4866111457812616
3.5,3.0,3.047568417159763,0.44184285917781296,7.121437424419683,34.017272104893934,15.808,51.09090909090909,512,3.4894112763375755
3.5,1.5,3.2238879716554782,0.2780599899111534,9.50560329094942,43.04736187791561,15.808,51.09090909090909,491,3.5019479615666316
5.0,1.0,3.3783467104106846,0.12606046787631603,12.427769059965279,53.0472074469584,15.808,51.09090909090909,505,3.5044071782870008
4.0,1.5,3.4414358674376215,0.14203768961514732,15.947847404196077,65.152596494066,15.808,51.09090909090909,526,3.583473557052769
4.5,1.0,3.5295223594818745,0.17587411195254096,11.855275250592433,56.28697598359398,15.808,51.09090909090909,513,3.7053964714344154
4.0,1.0,3.5737904629307344,0.16908799497352614,11.548027263973296,54.60054334938374,15.808,51.09090909090909,510,3.7428784579042604
4.5,0.5,3.300490346307079,0.47484118134437237,5.796365322677171,34.928030738301686,15.808,51.09090909090909,502,3.7753315276514514
3.0,0.5,3.3289358812687935,0.4718015026265714,6.057939806338325,34.39323095487001,15.808,51.09090909090909,488,3.800737383895365
4.5,3.0,3.463412621702539,0.3923203335120314,7.456020391680243,37.996213243754,15.808,51.09090909090909,502,3.8557329552145707
3.5,1.0,3.7627207309842943,0.1521874043585901,15.479580005587783,65.58025271304173,15.808,51.09090909090909,509,3.9149081353428845
4.0,2.0,3.5166126608434296,0.4020988741195278,7.493042286825559,36.877370701051454,15.808,51.09090909090909,504,3.9187115349629575
3.0,2.5,3.77486454011653,0.14481935799223505,12.2952412891824,54.53569977596658,15.808,51.09090909090909,522,3.919683898108765
5.0,2.0,3.5145122918318794,0.4527067265728796,7.227773621534834,32.56350747181517,15.808,51.09090909090909,485,3.967219018404759
2.0,2.5,3.839134042227996,0.16760046462544487,13.23886804169318,59.91328368941894,15.808,51.09090909090909,542,4.006734506853441
1.5,1.5,3.7089655331199785,0.5674513332533371,5.602348864448385,26.092011514760827,15.808,51.09090909090909,514,4.2764168663733155
0.5,1.5,3.8336773542498044,0.4767412993366885,7.321874843422106,29.803479234064586,15.808,51.09090909090909,516,4.310418653586493
1.0,0.0,3.7565180259867015,0.5806758463797943,0.5185116279184009,41.171492781969825,15.808,51.09090909090909,485,4.337193872366496
4.5,2.0,3.9147585970328427,0.5498287380165666,5.374581190299626,28.628857579910957,15.808,51.09090909090909,483,4.464587335049409
3.0,1.0,3.976783705804684,0.517878598436158,6.489574007046715,28.289962725059752,15.808,51.09090909090909,484,4.494662304240842
2.5,1.5,4.007914356245269,0.5443544779918669,5.249459591257696,29.59261610170863,15.808,51.09090909090909,477,4.552268834237136
3.5,2.5,3.940828402366863,0.6126633046053084,4.954929586182678,23.564606787033785,15.808,51.09090909090909,507,4.553491706972172
2.5,0.5,3.9406599822597475,0.6282637166260776,3.718977872354316,25.965081501260215,15.808,51.09090909090909,527,4.5689236988858255
1.5,3.0,4.109580378517548,0.5533665528555933,6.020211747809772,26.180701602264552,15.808,51.09090909090909,524,4.662946931373142
1.5,1.0,4.155310440846405,0.5365482829176804,5.93032975082519,28.18971850780144,15.808,51.09090909090909,493,4.691858723764085
3.0,1.5,4.104663367821262,0.5953625336847661,4.883210806676865,25.5642236297514,15.808,51.09090909090909,513,4.700025901506028
4.0,3.0,4.3350416996691985,0.6174281756545601,4.64800735055421,24.06968564678751,15.808,51.09090909090909,508,4.952469875323759
1.0,3.0,4.6587573964497055,0.3382162724149641,18.207982247527756,77.89380315308007,15.808,51.09090909090909,500,4.99697366886467
5.0,1.5,4.409751088072766,0.6251995798653025,4.415160310515929,24.02814301230688,15.808,51.09090909090909,484,5.034950667938069
5.0,2.5,4.428925568358767,0.6074268190409085,4.572415032688615,25.33595420593073,15.808,51.09090909090909,475,5.036352387399675
1.5,0.0,4.535551065569826,0.59329047830967,0.5744281005447424,39.70178665069358,15.808,51.09090909090909,492,5.128841543879496
2.0,0.5,4.540828402366864,0.6497179188555136,3.7630777945999347,23.63032268684241,15.808,51.09090909090909,480,5.190546321222377
3.0,0.0,4.9223862040384025,0.5865916245490705,0.9084152252326502,39.30685287564095,15.808,51.09090909090909,514,5.508977828587473
2.0,1.0,4.858267620864367,0.6543586528819858,3.949171387835964,22.55467599125709,15.808,51.09090909090909,487,5.512626273746353
0.5,0.0,5.168813750352212,0.49812895879275254,1.4543162277920054,55.600022431730906,15.808,51.09090909090909,525,5.666942709144964
4.5,2.5,5.128560402807893,0.7181970073016679,3.246081241605373,18.30391989473881,15.808,51.09090909090909,483,5.846757410109561
2.5,0.0,5.331817870279408,0.5328404612750477,0.9951509162715704,44.51891771572372,15.808,51.09090909090909,518,5.864658331554455
1.5,0.5,5.129764407129751,0.7355123577685658,2.848770963431147,17.818698974898368,15.808,51.09090909090909,487,5.865276764898317
3.5,0.0,5.721165403106508,0.5325998016615905,0.3198062229197657,46.726199436614564,15.808,51.09090909090909,512,6.253765204768099
