scenario,mu1,mu2,arrival_rate,theta12,theta21,adf_p_value,terminal_queue,interpreted_status
stable_like,0.5,0.5,0.463,2.0,1.0,0.0038494636578691095,0,stationary-like
unstable_like,0.4,0.6,0.463,2.0,1.0,0.8638931937094134,144,nonstationary-like
