h12,h21,L_1,L_2,L,W_1,W_2,W,U
0.0,0.0,0.39999644895329534,1.5870661536404465,1.987062602593744,0.3999989854369742,1.6087539420480959,1.004376463742535,1.877249133421449
0.0,0.3,0.6210178030994802,1.0754606318252085,1.6964784349246884,0.463147943763155,1.2337133259518733,0.8484306348575141,1.0817326069840765
0.0,0.6,0.763881229256933,0.8341417631745396,1.5980229924314717,0.5039660655187349,1.0950045996949325,0.7994853326068336,0.8200149750127794
0.0,0.8999999999999999,0.856399932072142,0.6933111541510709,1.5497110862232133,0.5303999806059843,1.0208293384205955,0.7756146595132899,0.7002503711178133
0.0,1.2,0.9206948385480908,0.5998284644830837,1.5205233030311744,0.548769953882748,0.973700296666412,0.7612351252745799,0.6340449740804438
0.0,1.5,0.9679772222575185,0.5327782623134054,1.5007554845709221,0.5622792063695788,0.9407450020860086,0.7515121042277937,0.5929756916241159
0.0,1.7999999999999998,1.00425730063411,0.48211031781708874,1.4863676184511985,0.5726449430473725,0.9162389562102156,0.744441949628794,0.5654316291519714
0.0,2.1,1.033012848251211,0.4423510776519796,1.4753639259031905,0.5808608137941292,0.8972149750579675,0.7390378944260484,0.5458873608478539
0.0,2.4,1.0563911787857754,0.41024789570423,1.4666390744900057,0.5875403368031972,0.8819688193547347,0.7347545780789659,0.5314154101932169
0.0,2.6999999999999997,1.0757896783069791,0.38373881181368935,1.459528490120667,0.5930827652371538,0.8694464063275474,0.7312645857823505,0.5203356877900259
0.0,3.0,1.0921573912022942,0.36144966114730587,1.4536070523495999,0.5977592546352464,0.8589581330322698,0.7283586938337581,0.5116223799751142
0.3,0.0,0.3712868188326426,1.6503206503122612,2.0216074691449033,0.442426072946032,1.6063027331905344,1.0243644030682832,1.941744997826315
0.3,0.3,0.5518718798560666,1.1817572457160568,1.7336291255721246,0.4913908660049111,1.243592418556427,0.8674916422806691,1.2168384593124357
0.3,0.6,0.6817227425688447,0.9447216931265578,1.6264444356954024,0.5218027846973622,1.104801710488557,0.8133022475929597,0.9483435971437396
0.3,0.8999999999999999,0.7744345441375231,0.7976443115193402,1.5720788556568634,0.5427151216217609,1.029543971893905,0.786129546757833,0.8138061582175208
0.3,1.2,0.8429510973113129,0.6959748761559663,1.538925973467279,0.5578379845879808,0.9813899249962571,0.769613954792119,0.7346887004367512
0.3,1.5,0.8954110050526557,0.6209916065621413,1.5164026116147964,0.5692552736298905,0.9475874995998388,0.7584213866148646,0.6835113456541541
0.3,1.7999999999999998,0.9368037887896146,0.5631909699217555,1.4999947587113702,0.5781771111620315,0.9223940262920989,0.7502855687270652,0.6481434288726965
0.3,2.1,0.9702828517299668,0.5171643675620045,1.4874472192919719,0.5853430531488552,0.9028085978874488,0.744075825518152,0.6224738620412132
0.3,2.4,0.9979190112965041,0.47958440695594756,1.4775034182524511,0.5912277163773251,0.8870981388782565,0.7391629276277908,0.6031255415209417
0.3,2.6999999999999997,1.021122230444013,0.4482830160974331,1.4694052465414449,0.5961488905805192,0.874186615890361,0.7351677532354401,0.5880970160398047
0.3,3.0,1.0408836764284914,0.42178311553484965,1.4626667919633398,0.6003271564283765,0.8633681175094864,0.7318476369689315,0.5761349673706897
0.6,0.0,0.3526790358822434,1.6936612188050397,2.04634025468728,0.4712229928577614,1.6059817338427655,1.0386023633502635,1.9820048785840323
0.6,0.3,0.5108214625541587,1.2492953460034415,1.7601168085576007,0.5121596760217947,1.2513979758383496,0.8817788259300721,1.2972358625696474
0.6,0.6,0.6281604510874379,1.0198440773295647,1.6480045284170024,0.5358277854554339,1.112751078292659,0.8242894318740465,1.027636556411951
0.6,0.8999999999999999,0.7166599514982037,0.872961241792493,1.5896211932906978,0.5528733148157475,1.0368909846319083,0.7948821497238279,0.8877163266298086
0.6,1.2,0.7849513077109161,0.768685593761276,1.5536369014721925,0.5656126164135207,0.9880870624740049,0.7768498394437628,0.8027026468916238
0.6,1.5,0.8389603528517555,0.6901253251480953,1.529085677999852,0.5754436600841207,0.9537030702007253,0.764573365142423,0.7461973014440335
0.6,1.7999999999999998,0.882635713624494,0.6285331571971449,1.5111688708216398,0.5832441372493387,0.9280104888562309,0.7556273130527849,0.706287962427326
0.6,2.1,0.9186403652977697,0.5788163631599353,1.4974567284577065,0.5895792432646653,0.9079998604872348,0.74878955187595,0.6768101082199705
0.6,2.4,0.9488133493786335,0.5377727024919419,1.4865860518705751,0.5948251326600603,0.8919259207060921,0.7433755266830762,0.6542704115894277
0.6,2.6999999999999997,0.9744573527325331,0.5032740601246604,1.4777314128571932,0.5992404267957298,0.8787014928078176,0.7389709598017737,0.6365527379605481
0.6,3.0,0.9965175989744672,0.473845115505179,1.470362714479646,0.6030082709542658,0.8676114664624823,0.7353098687083741,0.6223069399473476
0.8999999999999999,0.0,0.33905438193542153,1.7264298429583032,2.065484224893726,0.4929296877914697,1.6062686968786517,1.0495991923350607,2.0103024761920016
0.8999999999999999,0.3,0.4824469709004911,1.2986002357732975,1.7810472066737901,0.5286231187518718,1.2579087733375471,0.8932659460447094,1.3544976187964455
0.8999999999999999,0.6,0.589842191245564,1.0757617811054796,1.6656039723510443,0.5474395212187708,1.1195229092534267,0.8334812152360987,1.0846514799312057
