bound,theta12,theta21,arrival_rate1,arrival_rate2,service_rate1,service_rate2,num_servers,W_1,W_2,W,Var_W,L_1,L_2,L
4,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.5216074487444793,1.9773224156292846,1.6735124377060808,4.708159084638709,0.6405402963178856,0.7185201154241223,1.359060411742008
6,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.7466619135837633,2.2263314374533736,1.9065517548736333,7.386998932051482,0.7487938213327806,0.9549785991704408,1.703772420503221
8,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.7835274017791751,2.2660550558685677,1.944369953142306,8.080153380970515,0.77638999762921,1.0571160120660406,1.8335060096952505
10,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.7763040880025427,2.258851283801988,1.9371531532690245,7.892032931414876,0.7833129788138135,1.0998556674800248,1.8831686462938382
12,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.7665366642221627,2.24887788891529,1.9273170724532052,7.579840162666521,0.7852157487105342,1.117579342823785,1.9027950915343184
14,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.760603677913672,2.2428180260021353,1.9213417939431596,7.357584622367082,0.7858138325622321,1.1248609588942788,1.9106747914565125
16,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.7576337324700508,2.2397880011895803,1.9183518220432272,7.231288167727118,0.7860246367905064,1.1278191712162315,1.9138438080067361
