bound,theta12,theta21,arrival_rate1,arrival_rate2,service_rate1,service_rate2,sim_time,warmup,cooldown,seed,wasserstein_L,W_0_mc,W_1_mc,W_0_sim,W_1_sim,W_0_err,W_1_err,W_mc,W_sim,W_err
6,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,5000,500,500,42,0.30817326198210976,1.7466619135837633,2.2263314374533736,1.8919242226514268,2.325614742144145,0.07678019411585439,0.04269120886258029,1.9065517548736333,2.034437406669763,0.06286045045026466
8,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,5000,500,500,42,0.1784396727900831,1.7835274017791751,2.2660550558685677,1.8919242226514268,2.325614742144145,0.05729448334898928,0.025610297869313126,1.944369953142306,2.034437406669763,0.04427143014190404
10,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,5000,500,500,42,0.12877703619149333,1.7763040880025427,2.258851283801988,1.8919242226514268,2.325614742144145,0.0611124553851575,0.02870787544139971,1.9371531532690245,2.034437406669763,0.04781874983314729
12,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,5000,500,500,42,0.10996173402423287,1.7665366642221627,2.24887788891529,1.8919242226514268,2.325614742144145,0.06627514830035866,0.0329963737493795,1.9273170724532052,2.034437406669763,0.052653541399391796
14,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,5000,500,500,42,0.10400906281631028,1.760603677913672,2.2428180260021353,1.8919242226514268,2.325614742144145,0.06941110175846067,0.03560207743853299,1.9213417939431596,2.034437406669763,0.05559060817296566
