bound,W_1,W_2,W,Var_W,L_1,L_2,L,h12,h21,heatmap_bound,arrival_rate1,arrival_rate2,service_rate1,service_rate2,num_servers,CV_W
16,1.1999752765291536,3.1840634708644076,1.861338007974238,7.3532548565866644,0.799962914793731,1.059400577868734,1.8593634926624676,0.0,0.0,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.4568490785953956
16,1.5087432009719586,2.7711884325579845,1.9295582781673004,5.498777757523132,1.2631148014579385,0.6643000362565675,1.9274148377145066,0.0,0.2,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.2152767340557564
16,1.6409684439112213,2.5482407700458816,1.9433925526227744,4.6462798183742455,1.461452665866833,0.47828155387433335,1.939734219741166,0.0,0.4,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.1091547579100158
16,1.7100705335430186,2.4290771931995967,1.9497394200952112,4.329462242152039,1.5651058003145288,0.3802026733159541,1.9453084736304829,0.0,0.6000000000000001,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.0671867041545493
16,1.7528418638343009,2.3548489090764955,1.9535108789150322,4.176323785302214,1.629262795751449,0.31935469347905154,1.9486174892305,0.0,0.8,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.0461193774917947
16,1.782091293551229,2.303986730662096,1.9560564392548512,4.089742973805947,1.673136940326847,0.27771738528232387,1.950854325609173,0.0,1.0,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.033871648279713
16,1.8034397202394576,2.266853622080871,1.957911020853262,4.035542736379835,1.7051595803591828,0.2473277943726603,1.9524873747318445,0.0,1.2000000000000002,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.0260251927008337
16,1.8197525085174568,2.23849389079082,1.9593329692752444,3.99910361215054,1.7296287627761826,0.2241133614987334,1.9537421242749176,0.0,1.4000000000000001,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.0206411681119627
16,1.8326491711677129,2.2160930791327487,1.960463807156058,3.9732787098905686,1.7489737567515713,0.20576823967116956,1.9547419964227395,0.0,1.6,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.0167535233744207
16,1.843116745860563,2.19793108885774,1.9613881935262887,3.9542185388293105,1.7646751187908445,0.19088572212043595,1.9555608409112808,0.0,1.8,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.0138338261695334
16,1.851792427425426,2.1828956929744603,1.9621601826084372,3.9396912108059086,1.7776886411381354,0.17855720528220795,1.9562458464203438,0.0,2.0,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.0115716124108363
16,1.8591066683430741,2.170234867960945,1.9628160682156977,3.9283255689700756,1.788660002514609,0.16816872694932594,1.9568287294639375,0.0,2.2,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.0097738794274618
16,1.8653611436742736,2.159421356343038,1.9633812145638614,3.919238927961167,1.7980417155114152,0.15928996534409284,1.957331680855508,0.0,2.4000000000000004,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.0083150249138426
16,1.870773798424194,2.1500742099351275,1.963873935594505,3.9118407171020264,1.8061606976362925,0.1516100448331026,1.9577707424693962,0.0,2.6,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.0071101551070458
16,1.8755061601334517,2.1419111341761057,1.9643078181476696,3.9057228115884195,1.813259240200179,0.14489858975421813,1.958157829954397,0.0,2.8000000000000003,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.006100034605444
16,1.8796805790495204,2.134718368458681,1.9646931755192405,3.900595289272784,1.8195208685742807,0.13898113032302667,1.9585019988973071,0.0,3.0,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.0052421939932792
16,1.3061637116469478,2.860625496597608,1.8243176399638346,6.756521483539222,0.6416719779772335,1.1789432540396256,1.8206152320168565,0.2,0.0,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.4248236773617786
16,1.5381826366678581,2.659271493350864,1.9118789222288601,7.071281605924693,0.9655643034226309,0.9459908546169504,1.9115551580395809,0.2,0.2,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.390876857828731
16,1.6524794862870353,2.504601121763122,1.9365200314457307,6.227631646214775,1.1896318644601456,0.7468966363762286,1.9365285008363744,0.2,0.4,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.2886633129506215
