bound,W_1,W_2,W,Var_W,L_1,L_2,L,h12,h21,heatmap_bound,arrival_rate1,arrival_rate2,service_rate1,service_rate2,num_servers,CV_W
16,1.199975276529137,2.2097732554996887,1.5365746028526541,4.628663046541387,0.7999629147937056,0.7359168756311922,1.535879790424898,0.0,0.0,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.4001486066659479
16,1.4654889729887084,2.2739451726847255,1.7349743728873808,4.784528845271131,1.1982334594830606,0.5348463609605711,1.7330798204436326,0.0,0.2,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2607428805208167
16,1.592513658242312,2.1870007107329923,1.7906760090725387,4.306148464619035,1.3887704873634699,0.3985652152591186,1.7873357026225891,0.0,0.4,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.1588506919763748
16,1.6614245042611717,2.130100214404875,1.8176497409757393,4.1121699285490125,1.4921367563917565,0.32140678448692483,1.8135435408786813,0.0,0.6000000000000001,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.1156432124117739
16,1.7049837471013873,2.0922382909285644,1.8340685950437794,4.016762876768455,1.5574756206520786,0.27201903433441704,1.8294946549864959,0.0,0.8,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.0927542967868955
16,1.735210374737087,2.065523076984412,1.8453146088195285,3.9629004782160377,1.602815562105628,0.23760869083212366,1.8404242529377506,0.0,1.0,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.0787881393632153
16,1.7575212390123294,2.0457387633998056,1.8535937471414878,3.929492724716,1.6362818585184924,0.21219225967943328,1.848474118197928,0.0,1.2000000000000002,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.069433264879229
16,1.7747261915485861,2.0305261665429666,1.8599928498800462,3.9073264951623607,1.6620892873228819,0.1926095610211129,1.8546988483439941,0.0,1.4000000000000001,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.0627437912467843
16,1.7884338464722647,2.018478676400496,1.8651154564483416,3.891856787777247,1.6826507697083977,0.17703323671998067,1.8596840064283793,0.0,1.6,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.057724841505443
16,1.7996345645149177,2.00870967925718,1.869326269429005,3.8806285024048344,1.6994518467723783,0.16433161349931233,1.8637834602716898,0.0,1.8,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.0538187597275084
