bound,theta12,theta21,arrival_rate1,arrival_rate2,service_rate1,service_rate2,sim_time,warmup,cooldown,seed,wasserstein_L,W_0_mc,W_1_mc,W_0_sim,W_1_sim,W_0_err,W_1_err,W_mc,W_sim,W_err
6,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,5000,500,500,42,0.3946828340314132,1.5392050455230992,1.7525003288525218,1.666178685914702,1.8975532122267247,0.07620649661707599,0.07644206362149256,1.6103034732995734,1.7443044993633432,0.07682203773061362
8,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,5000,500,500,42,0.2957432558539005,1.5678801944378868,1.7869489510816268,1.666178685914702,1.8975532122267247,0.058996368341401,0.058287831103986255,1.6409031133191334,1.7443044993633432,0.05927943548958937
10,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,5000,500,500,42,0.2592650904283853,1.562360311963292,1.7826660653852844,1.666178685914702,1.8975532122267247,0.06230926780486068,0.06054488807016036,1.6357955631039562,1.7443044993633432,0.06220756542162898
12,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,5000,500,500,42,0.2511788638883077,1.5548902075743518,1.775456200817355,1.666178685914702,1.8975532122267247,0.06679264311873903,0.0643444466393079,1.6284122053220194,1.7443044993633432,0.06644040308536932
14,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,5000,500,500,42,0.2506110303308596,1.5503548260625712,1.770967165849352,1.666178685914702,1.8975532122267247,0.06951466900355026,0.06671014312627764,1.6238922726581646,1.7443044993633432,0.0690316551663589
