scenario,mu1,mu2,arrival_rate,theta12,theta21,parameter_source,adf_p_value,terminal_queue,interpreted_status
stable_like,0.5,0.5,0.463,3.0,1.0,paper_text_default,0.15624398276207146,10,nonstationary-like
unstable_like,0.4,0.6,0.463,3.0,1.0,paper_text_default,0.8558049861363859,241,nonstationary-like
