bound,W_1,W_2,W,Var_W,L_1,L_2,L,h12,h21,CV_W
12,1.199524746417256,2.2049468371022947,1.5346654433122688,4.589747490752886,0.7992871194059288,0.7313937390610605,1.5306808584669895,0.0,0.0,1.395984777318529
12,1.5187045605702316,2.1987149103021193,1.7453746771475274,4.248605244973505,1.2780568406729973,0.4571680507194338,1.7352248913924297,0.0,0.3,1.1809581829369729
12,1.6329526722093783,2.0976004554442063,1.7878352666209874,3.83999676932487,1.4494290081946095,0.3231096592616014,1.7725386674562114,0.0,0.6,1.0960690878452697
12,1.6897785601277715,2.0433756064153696,1.8076442422236374,3.6998417631790717,1.5346678401051688,0.2551849867908098,1.7898528268959777,0.0,0.8999999999999999,1.064090615340433
12,1.7242265918862723,2.010224787057925,1.8195593236101564,3.6348801385943066,1.586339887762886,0.21395929191510607,1.800299179677993,0.0,1.2,1.0478010459322644
12,1.7475305632943259,1.987955751251282,1.827672292613311,3.599110150764887,1.621295844888316,0.18614322319747933,1.8074390680857941,0.0,1.5,1.0380045117567673
12,1.7644341300037796,1.9719964663588967,1.833621575455485,3.5771275288197852,1.6466511949620444,0.16604175932252543,1.8126929542845704,0.0,1.7999999999999998,1.0314721378382485
12,1.777301916929065,1.9600128843388054,1.8382055727323117,3.5625506735748744,1.6659528753571398,0.15080051675033873,1.816753392107479,0.0,2.1,1.026801387465236
12,1.787451163843806,1.9506927306109214,1.8418650194328445,3.552330303602526,1.681176745734834,0.13882663683819124,1.820003382573025,0.0,2.4,1.0232903308191141
12,1.7956766897352483,1.9432425419512496,1.844865307140582,3.5448521985554513,1.6935150345764634,0.12915902152854863,1.8226740561050117,0.0,2.6999999999999997,1.020550270308782
12,1.802487929073355,1.9371547076225235,1.8473768552564112,3.5391931824286518,1.7037318935872783,0.12118226921763237,1.824914162804911,0.0,3.0,1.0183489878100103
12,1.2096213036881773,1.7624506369728752,1.3938977481164099,3.3223685052219967,0.6035653075035282,0.7857868866329003,1.389352194136428,0.3,0.0,1.3076544140146025
12,1.4926469692049826,2.0129331076841845,1.6660756820313831,5.515278893693962,0.9323813590626873,0.7311475684258065,1.6635289274884935,0.3,0.3,1.4095776783488825
12,1.6161002350778697,2.018178451566918,1.7501263072408857,5.223850282396301,1.160201332190316,0.5893055174412025,1.7495068496315185,0.3,0.6,1.305948249788524
12,1.67675068491878,1.9991330502448093,1.7842114733607897,4.941453837456065,1.297299034200026,0.48575979207395836,1.7830588262739844,0.3,0.8999999999999999,1.2458938541855369
12,1.7126015794324945,1.9811617054285109,1.8021216214311666,4.7520991553522105,1.387054722868966,0.4131502256271041,1.8002049484960698,0.3,1.2,1.2096469915891392
12,1.7363645320996821,1.966619681790428,1.813116248663264,4.623162114165375,1.4501529724535387,0.3603064846069956,1.8104594570605348,0.3,1.5,1.1858886467484668
12,1.753331344224009,1.955041740826803,1.820568143091607,4.531336421562789,1.4969105367997815,0.3203359119061638,1.817246448705945,0.3,1.7999999999999998,1.1692468656651263
12,1.7660885789537324,1.945735588398936,1.8259709154354669,4.463159997694814,1.5329568639627311,0.28910834978872835,1.8220652137514592,0.3,2.1,1.1569840510604679
12,1.7760514019318254,1.938143086780856,1.8300819635481687,4.41075614283967,1.561607053803673,0.2640590564989141,1.8256661103025873,0.3,2.4,1.1475879595147038
12,1.7840606000653132,1.9318541277000503,1.8333251092768923,4.369315455215535,1.5849362817432124,0.24352678591430252,1.8284630676575155,0.3,2.6999999999999997,1.1401637101665794
12,1.7906480092479435,1.9265715773587258,1.8359558652848709,4.335769490397931,1.604308964016283,0.22639304087850698,1.8307020048947906,0.3,3.0,1.1341509360983657
12,1.1917164724673566,1.6220247800533036,1.3351525749960054,2.8773341254701963,0.5329960177639448,0.798170626759637,1.3311666445235826,0.6,0.0,1.270469520827509
12,1.4530762105213249,1.8895292641087054,1.5985605617171184,5.483562316646976,0.7765900705501694,0.8126517876568132,1.5892418582069825,0.6,0.3,1.464880835757946
12,1.5888003750242052,1.9502139281433415,1.7092715593972505,5.645355905162548,0.9877199383318838,0.7192993355803949,1.7070192739122783,0.6,0.6,1.3900633625019256
12,1.6592052936831279,1.9595103304289962,1.7593069725984172,5.482346684311157,1.1351429436987488,0.6240389063571694,1.759181850055917,0.6,0.8999999999999999,1.3308883508631495
12,1.7007226070297845,1.956345374650258,1.7859301962366088,5.313809710082919,1.2396110973671133,0.5467473651239484,1.7863584624910627,0.6,1.2,1.290739256035759
12,1.727731696927829,1.950138898214041,1.8018674306898994,5.174148997348069,1.3167195019116233,0.48569936506698697,1.8024188669786108,0.6,1.5,1.2623989656167038
12,1.7466090547627966,1.9435806116977266,1.812266240407773,5.062519230953821,1.3757622921933748,0.4370198256916234,1.8127821178849977,0.6,1.7999999999999998,1.241541790810476
