h12,h21,L_1,L_2,L,W_1,W_2,W,U
0.0,0.0,0.49997741992687705,1.4550697325485404,1.9550471524754176,0.49999247333974184,1.4775113875429442,0.988751930441343,1.7760412222060524
0.0,0.3,0.8808048113383217,1.1035539583709422,1.9843587697092633,0.6269349371512423,1.35950474880814,0.9932198429796911,1.5931382536682253
0.0,0.6,1.1237291938074268,0.845866981476318,1.9695961752837434,0.7079097313004172,1.2673041623383021,0.9876069468193597,1.2953062043105963
0.0,0.8999999999999999,1.2689998279844072,0.6915806473451221,1.9605804753295295,0.7563332760200847,1.2128213217366197,0.9845772988783522,1.1556154229380486
0.0,1.2,1.364906783604175,0.5898887631571348,1.9547955467613098,0.788302261222297,1.1771778837534617,0.9827400724878793,1.0806481708757751
0.0,1.5,1.4330371266801887,0.5177490267987076,1.9507861534788977,0.8110123755777169,1.152003946463185,0.981508161020451,1.0355406853937001
0.0,1.7999999999999998,1.4840346010268788,0.4638064281424347,1.9478410291693133,0.8280115336907904,1.1332336211971241,0.9806225774439572,1.0060737442511796
0.0,2.1,1.5237117535438454,0.42187020901884076,1.9455819625626858,0.8412372511944842,1.1186697805967738,0.979953515895629,0.9856242307567176
0.0,2.4,1.5555083556373548,0.3882826468100801,1.9437910024474343,0.8518361185574064,1.1070219233137832,0.9794290209355948,0.9707645114249643
0.0,2.6999999999999997,1.5815912397023815,0.3607427715321991,1.942334011234582,0.8605304132444473,1.0974816062542276,0.9790060097493375,0.9595700993857309
0.0,3.0,1.6033945900466138,0.3377293444231263,1.9411239344697402,0.867798196691435,1.0895159867133357,0.9786570917023854,0.950888887698911
0.3,0.0,0.4491221584650843,1.4995176796436367,1.9486398381087213,0.5453932574832528,1.4295028009563002,0.9874480292197765,1.7273007891336483
0.3,0.3,0.7278043346089004,1.260973639515333,1.988777974124233,0.6568031070254151,1.3395748304748765,0.9981889687501457,1.8492300793109044
0.3,0.6,0.9552024574380986,1.0336912643059963,1.9888937217440958,0.7260570612901213,1.2633326666114724,0.9946948639507969,1.5991632634621586
0.3,0.8999999999999999,1.1110972463079736,0.8710865131280546,1.9821837594360288,0.7684039930893007,1.2136956669449381,0.9910498300171194,1.433340643102111
0.3,1.2,1.2216445043824493,0.7543996084401701,1.9760441128226183,0.7967249053784465,1.179583723094955,0.9881543142367009,1.3285316868557295
0.3,1.5,1.3035907963675257,0.6673978864402023,1.9709886828077279,0.8170112335923478,1.1547981997582788,0.9859047166753133,1.2589967846693182
0.3,1.7999999999999998,1.3666427800404137,0.6002041102336683,1.9668468902740823,0.832282089581684,1.1359798522915274,0.9841309709366057,1.2104316908579729
0.3,2.1,1.4166351540585609,0.5467815481799075,1.9634167022384674,0.8442112589727175,1.1211964438264754,0.9827038513995965,1.1750016719590632
0.3,2.4,1.4572454218599105,0.5032921049116429,1.960537526771554,0.8537998975979977,1.1092665482931139,0.9815332229455558,1.1482154776556093
0.3,2.6999999999999997,1.4908949792002324,0.4671944056692191,1.9580893848694498,0.8616836768522634,1.0994291822926228,0.9805564295724432,1.1273639500825963
0.3,3.0,1.5192395695738268,0.43674361767014486,1.955983187243972,0.8682859015115203,1.0911725130684122,0.9797292072899663,1.1107353856670175
0.6,0.0,0.4195891236390318,1.5262424266035282,1.9458315502425576,0.5705438171575443,1.4033939369101598,0.986968877033852,1.6968325568825127
