bound,W_1,W_2,W,Var_W,L_1,L_2,L
4,1.3613692693282415,1.5456582168941968,1.4227989185168932,3.5683076146350063,0.5980397190769193,0.5876967800033497,1.1857364990802686
6,1.5392050455230992,1.7525003288525218,1.6103034732995734,5.708630550063413,0.6828006550621362,0.7752888626234787,1.4580895176856141
8,1.5678801944378868,1.7869489510816268,1.6409031133191334,6.284561852293043,0.7030836263946447,0.8539454694684825,1.5570290958631268
10,1.562360311963292,1.7826660653852844,1.6357955631039562,6.154209210517476,0.708038662873765,0.8866556135804112,1.594694276454176
12,1.5548902075743518,1.775456200817355,1.6284122053220194,5.917429389867685,0.7094087434327159,0.9002526026735475,1.6096613461062625
14,1.5503548260625712,1.770967165849352,1.6238922726581646,5.746703544515339,0.7098509256689989,0.9058609904355278,1.6157119161045244
16,1.5480837047427045,1.7686995014181675,1.6216223036345254,5.649203177205158,0.7100113438765889,0.9081470393072067,1.6181583831837967
