bound,L_1,L_2,L,W_1,W_2,W,Q_boundary,P_hit_boundary
2,0.3076923076923077,0.20118343195266275,0.5088757396449705,0.8980058722650952,0.923413622038314,0.9064751221895014,0.5522682445759369,1.0543815159199774
3,0.4903169683458732,0.42080088782636305,0.9111178561722363,1.1592615459022615,1.296324957902534,1.2049493499023523,0.30818804312354586,0.3913457350451389
4,0.5980397190769193,0.5876967800033497,1.1857364990802686,1.3613692693282415,1.5456582168941968,1.4227989185168932,0.18887226663893955,0.20940730634686813
