h12,h21,L_1,L_2,L,W_1,W_2,W,U
0.0,0.0,0.6664653368516356,1.646023841056442,2.312489177908076,0.6665861348021598,1.704184859378683,1.1853854970904214,2.7426355803476454
0.0,0.3,1.644041737612162,1.429177713446956,3.073219451059119,1.057616695153178,2.0344380871141032,1.5460273911336406,3.885484650394748
0.0,0.6,2.114952139637019,1.0238710930117758,3.1388232326487953,1.2459808559278573,1.938116442454231,1.5920486491910442,3.034648797455392
0.0,0.8999999999999999,2.350781623721074,0.8012247266558479,3.152006350376922,1.3403126495395148,1.8753605657411003,1.6078366076403077,2.708020264505004
0.0,1.2,2.49281578371549,0.6633885352657142,3.1562043189812017,1.3971263135232754,1.8348293307828174,1.6159778221530465,2.5486609873331285
0.0,1.5,2.5881199186070387,0.5697416031824609,3.1578615217894996,1.4352479674703003,1.806829272731075,1.6210386201006877,2.4574809890736793
0.0,1.7999999999999998,2.6567169001197373,0.5018900577123944,3.1586069578321325,1.4626867600684241,1.786393519695787,1.6245401398821055,2.3995497367657963
0.0,2.1,2.708577534196373,0.45039880424303996,3.158976338439414,1.4834310136938105,1.7708399520112301,1.6271354828525202,2.3599472574383897
0.0,2.4,2.7492351312238488,0.4099415780758596,3.159176709299707,1.4996940525006741,1.7586121678547875,1.6291531101777308,2.3313781236694506
0.0,2.6999999999999997,2.7820126311188504,0.37728448441870827,3.1592971155375613,1.5128050524553602,1.748749294210478,1.6307771733329193,2.3099040279301644
0.0,3.0,2.8090291772267815,0.3503495596935706,3.159378736920352,1.523611670895809,1.7406272261618265,1.6321194485288177,2.2932325647261504
0.3,0.0,0.5656286648664914,1.6422650509315635,2.207893715798055,0.7245958656931072,1.5377032503952068,1.131149558044157,2.308109603080235
0.3,0.3,1.1945316949975255,1.774900757243254,2.969432452240775,1.1057664623193548,1.9499457468173553,1.5278561045683552,5.59490507100469
0.3,0.6,1.7375649979424101,1.500447822948566,3.238012820890974,1.2927010467508349,1.9404034892768738,1.6165522680138542,4.5228514316935495
0.3,0.8999999999999999,2.0448524133539356,1.2391921878979375,3.284044601251873,1.3747649442510639,1.8895079845389018,1.632136464394983,3.8678682001134446
0.3,1.2,2.2383426311611383,1.0496782661989035,3.288020897360042,1.4207804402311963,1.8477917594110262,1.6342860998211113,3.4904354478002917
0.3,1.5,2.3713784598265457,0.911013119102178,3.282391578928725,1.450407976747076,1.8160082003119784,1.6332080885295273,3.2525126666619975
0.3,1.7999999999999998,2.4684992504897485,0.8061224273970633,3.274621677886812,1.4711698239117634,1.7915288838691905,1.631349353890477,3.0912536655180687
0.3,2.1,2.542548771016227,0.7242626804351189,3.266811451451344,1.486574927230018,1.7722493567184916,1.6294121419742549,2.97569131285983
0.3,2.4,2.6008986317949003,0.6586774745681441,3.2595761063630415,1.498485995180201,1.756726541626315,1.627606268403258,2.8892233541755665
0.3,2.6999999999999997,2.648080718899127,0.6049769534181187,3.253057672317245,1.5079864030677115,1.743982126394273,1.6259842647309921,2.82228559548241
0.3,3.0,2.687034136056078,0.5602054988627335,3.24723963491881,1.515750607368882,1.7333413732997447,1.6245459903343134,2.769031023449147
0.6,0.0,0.5156453199095948,1.6383638014565716,2.1540091213661663,0.7448584706740004,1.460523086264731,1.1026907784693656,2.1101305114882125
0.6,0.3,0.9687715357005234,1.830621794695763,2.7993933303962857,1.1079832570421349,1.8587707723394449,1.4833770146907899,6.063542444928612
0.6,0.6,1.4623209501197458,1.7221319679152411,3.1844529180349883,1.3176486619334897,1.9288456437520398,1.6232471528427648,5.649545921541237
0.6,0.8999999999999999,1.7998505298179357,1.5136359822580536,3.3134865120759898,1.4059493941311847,1.9032342792187822,1.6545918366749834,4.827208149921855
0.6,1.2,2.024453396812503,1.3243609011435153,3.3488142979560194,1.450927442565827,1.8684861210794819,1.6597067818226545,4.306475699871979
0.6,1.5,2.182933929841227,1.1711076673876182,3.3540415972288433,1.4775342488052656,1.8377250779824004,1.657629663393833,3.9614095690385085
0.6,1.7999999999999998,2.300686655077327,1.0485096689231752,3.3491963240005007,1.494890148915115,1.8121359715277856,1.6535130602214503,3.7178406951699965
