scenario,bound,num_servers,h12,h21,L_1,L_2,L,W_1,W_2,W,U,Q_boundary,P_hit_boundary
B_equal,16,1,0.0,0.0,0.4999996283108246,1.4889318481235894,1.9889314764344133,0.4999998761036087,1.4944655408858898,0.9972327084947492,1.8451518908083644,0.005245396441571629,0.0007964716646092727
B_equal,16,1,0.0,0.2,0.7710933393643102,1.2270803161658113,1.9981736555301204,0.5903644464547705,1.408025554907679,0.9991950006812247,1.7773442660827714,0.0007002827311407252,0.00014928931747289686
B_equal,16,1,0.0,0.4,0.9953544391683881,0.9995192087751836,1.9948736479435718,0.6651181463894626,1.3306701846471494,0.997894165518306,1.5100597376038782,0.0021915686041147115,0.00043524702703735417
B_equal,16,1,0.0,0.6000000000000001,1.149189784507071,0.8432225829761801,1.9924123674832526,0.716396594835691,1.2776450823609313,0.9970208385983111,1.3472158192492183,0.0033931102612134163,0.0006438563104854765
B_equal,16,1,0.0,0.8,1.258348898129149,0.7323362264586503,1.9906851245877983,0.75278296604305,1.2400963940272907,0.9964396800351702,1.2490721920857002,0.004268351911816617,0.0007813031253415452
B_equal,16,1,0.0,1.0,1.339459330901457,0.6499680170931907,1.9894273479946474,0.7798197769671527,1.2122397597762604,0.9960297683717065,1.1861076991652784,0.004919647920272917,0.0008742810271099044
B_equal,16,1,0.0,1.2000000000000002,1.4020858978507043,0.5863879659029898,1.9884738637536952,0.8006952992835679,1.1907557405108757,0.9957255198972218,1.14331392167042,0.005420424459151282,0.0009396045149566337
B_equal,16,1,0.0,1.4000000000000001,1.4519384961135604,0.5357877136045639,1.9877262097181225,0.8173128320378537,1.1736681682696979,0.9954905001537757,1.1128336723905847,0.005817058538507598,0.000987106111816586
B_equal,16,1,0.0,1.6,1.4926022985986094,0.4945213928635523,1.9871236914621602,0.8308674328662035,1.1597389886680431,0.9953032107671234,1.0902903464766451,0.006139104754485768,0.0010226676595098683
B_equal,16,1,0.0,1.8,1.5264342883609385,0.46019295068540716,1.986627239046345,0.8421447627869793,1.1481556850580574,0.9951502239225183,1.0730990022343034,0.00640601190569617,0.001049944809169975
B_equal,16,1,0.0,2.0,1.5550460511679383,0.4311646121972948,1.9862106633652337,0.8516820170559795,1.1383634561147027,0.995022736585341,1.0596540467298698,0.006631025251030096,0.0010712975469888825
B_equal,16,1,0.0,2.2,1.5795766909895275,0.4062790861364866,1.9858557771260124,0.859858896996509,1.1299705816444714,0.9949147393204902,1.048914814767281,0.006823454596437057,0.001088302458454127
B_equal,16,1,0.0,2.4000000000000004,1.6008543467716536,0.3846952129478636,1.9855495597195185,0.8669514489238834,1.1226925276934614,0.9948219883086724,1.0401820232326693,0.006990028671037398,0.0011020448783991886
B_equal,16,1,0.0,2.6,1.6194957599488262,0.3657866825812523,1.9852824425300768,0.8731652533162761,1.1163175457788035,0.9947413995475398,1.0329710885296135,0.007135730621107308,0.001113291777802297
B_equal,16,1,0.0,2.8000000000000003,1.6359698832223442,0.34907735003001195,1.9850472332523588,0.8786566277407822,1.1106847252141354,0.9946706764774589,1.0269371827690836,0.007264330141539983,0.0011225976854359477
B_equal,16,1,0.0,3.0,1.650639804178486,0.33419861450864247,1.9848384186871277,0.8835466013928285,1.105669543761659,0.9946080725772437,1.0218292077453741,0.007378732553495588,0.0011303716568637886
B_equal,16,1,0.2,0.0,0.4620168381300557,1.5253258561798384,1.9873426943098926,0.533933724766794,1.4598189085767659,0.99687631667178,1.8122506649187575,0.006047886405214349,0.0009205045492432106
B_equal,16,1,0.2,0.2,0.6689848833095344,1.3294993135766595,1.998484196886195,0.6159478086840975,1.3837508991229244,0.9998493539035109,1.8994024814122983,0.0005988959899752389,0.00014457981680220995
B_equal,16,1,0.2,0.4,0.8630659150771379,1.1358097694072937,1.9988756844844313,0.6806231589606488,1.3182461201829327,0.9994346395717908,1.7263164643374531,0.0004125857875311028,0.0001227051864085434
B_equal,16,1,0.2,0.6000000000000001,1.0133410653627777,0.9842667383175282,1.997607803680307,0.7264311462548898,1.2710759083679763,0.9987535273114331,1.5754759381372803,0.0009515922982511597,0.0002591462884615346
B_equal,16,1,0.2,0.8,1.1279553432684672,0.8683105949156505,1.996265938184118,0.7596803503402477,1.2365127302260022,0.998096540283125,1.468337757359409,0.001554194630480481,0.00039801261658993156
B_equal,16,1,0.2,1.0,1.2170588766281198,0.7779869209907873,1.9950457976189067,0.7847546506893287,1.2102949245672827,0.9975247876283058,1.3927246272005167,0.0021239403412625962,0.0005179896313953938
B_equal,16,1,0.2,1.2000000000000002,1.2879729022632904,0.706002138413536,1.9939750406768264,0.8043122941728317,1.1897662080981584,0.9970392511354951,1.33796459883014,0.0026379418460106938,0.0006177771206589141
B_equal,16,1,0.2,1.4000000000000001,1.345643127034634,0.6474000380444878,1.9930431650791207,0.81999474160691,1.1732605735707442,0.9966276575888271,1.2971169669644418,0.003094499645131241,0.0007001230398235446
B_equal,16,1,0.2,1.6,1.3934293247366252,0.5988019169067218,1.9922312416433456,0.8328565962565312,1.1596968183502985,0.9962767073034149,1.265806429744561,0.003498571919067298,0.000768257490693757
B_equal,16,1,0.2,1.8,1.4336642835044413,0.5578562059895613,1.9915204894940046,0.8436027240635036,1.1483472522654954,0.9959749881644995,1.2412284732085292,0.003856712912388021,0.0008250092467987274
B_equal,16,1,0.2,2.0,1.468008191377371,0.5228863797759014,1.9908945711532724,0.8527210875229558,1.13870556455608,0.9957133260395179,1.2215353821608943,0.004175303657096339,0.0008726607338964396
B_equal,16,1,0.2,2.2,1.4976708639316738,0.4926690363122726,1.990339900243946,0.8605599228198466,1.1304090513321001,0.9954844870759734,1.2054745328376588,0.00445999947723345,0.0009130037076394252
B_equal,16,1,0.2,2.4000000000000004,1.5235531710194448,0.4662921838387301,1.9898453548581763,0.8673743482037036,1.1231912131722963,0.995282780688,1.192173632956687,0.004715629325876451,0.0009474347271630025
B_equal,16,1,0.2,2.6,1.5463390531990058,0.44306280927424685,1.9894018624732548,0.873355546351536,1.1168518719113518,0.9951037091314439,1.1810102594926775,0.0049462544967819695,0.00097704409889535
B_equal,16,1,0.2,2.8000000000000003,1.5665568120082134,0.42244519455488294,1.9890020065630951,0.8786496390163818,1.1112377408655654,0.9949436899409736,1.1715304680858323,0.005155273541302657,0.0010026878518465375
B_equal,16,1,0.2,3.0,1.5846208713992767,0.40401882368392433,1.9886396950832004,0.8833702523566114,1.1062294362231342,0.9947998442898728,1.1633966530519455,0.005345530547093241,0.0010250431004331687
B_equal,16,1,0.4,0.0,0.43710948998910915,1.5494756874583253,1.986585177447434,0.5553727403328088,1.4380835655932305,0.9967281529630196,1.7885023597394514,0.006440121342644083,0.000980790228052916
B_equal,16,1,0.4,0.2,0.6112357853901523,1.385512012912687,1.9967477983028388,0.6326998424373879,1.3672539503034207,0.9999768963704043,1.9333092555290217,0.0013649703212454667,0.00030149497160033737
B_equal,16,1,0.4,0.4,0.7801039385471028,1.2190482960696927,1.9991522346167956,0.6912916802388641,1.3084251084806082,0.9998583943597361,1.823182600162323,0.0003038625682883835,0.00010342337639033946
B_equal,16,1,0.4,0.6000000000000001,0.9200291993069162,1.079026316005214,1.9990555153121279,0.7336405607069683,1.2654074927979646,0.9995240267524664,1.6986026361961155,0.00033990339477153156,0.00012690835736901384
B_equal,16,1,0.4,0.8,1.0323866865782039,0.9659809350092471,1.9983676215874504,0.7648678631363082,1.2332974942249744,0.9990826786806413,1.5989023592524214,0.0006261245970911754,0.0002158739992051956
B_equal,16,1,0.4,1.0,1.1230498985593682,0.8744924706466684,1.9975423692060363,0.7886602368580398,1.208568036515822,0.9986141366869309,1.5230166808778498,0.0009828597878507287,0.0003174945632977354
B_equal,16,1,0.4,1.2000000000000002,1.1972114899681636,0.799497326432026,1.9967088164001894,0.8073452608757395,1.1889749512726526,0.998160106074196,1.465104122025291,0.0013553148384438944,0.0004151985114532041
B_equal,16,1,0.4,1.4000000000000001,1.2587879079523578,0.7371240241839164,1.9959119321362737,0.8223992469256474,1.173075828802663,0.9977375378641552,1.420203191726694,0.001720988183037891,0.0005040613288229974
B_equal,16,1,0.4,1.6,1.3106406640705572,0.6845270289872382,1.995167693057796,0.8347879943619011,1.1599146901405701,0.9973513422512357,1.3847422736483002,0.0020698538124492615,0.0005831169150090151
B_equal,16,1,0.4,1.8,1.3548632030666412,0.6396168221365862,1.9944800252032282,0.8451652436107607,1.1488369061529375,0.9970010748818492,1.3562320831408852,0.002397819738664767,0.0006528250819398575
B_equal,16,1,0.4,2.0,1.3930053712827946,0.6008421883036552,1.993847559586451,0.8539877602415488,1.139380494605395,0.9966841274234719,1.3329330565002082,0.0027037908578420016,0.0007141254015031745
