h12,h21,trials,seed,arrival_rate,service_rate,wasserstein,mape,sim_mean_wait_up,sim_mean_wait_down,obs_mean_wait_up,obs_mean_wait_down,n_sim_records
1.0,0.0,5,0,0.463,0.5,4.537311586133613,0.5600268962719196,0.8232364090359539,42.29658009752394,15.808,51.09090909090909,813
1.0,1.0,5,0,0.463,0.5,3.0380539431334235,0.1878657436253563,10.812928829650875,48.038343041372045,15.808,51.09090909090909,842
1.0,2.0,5,0,0.463,0.5,3.147124435895,0.11279909436135038,13.267142221023969,54.40496120637457,15.808,51.09090909090909,809
2.0,0.0,5,0,0.463,0.5,4.8851570964247015,0.5875773677269484,0.24447668306058157,41.35195424349543,15.808,51.09090909090909,852
2.0,1.0,5,0,0.463,0.5,3.5424605353233423,0.4582389345899362,6.970305375880534,32.83034486040275,15.808,51.09090909090909,873
2.0,2.0,5,0,0.463,0.5,4.221701731317119,0.09455706367025175,12.849705256047182,51.19181551428376,15.808,51.09090909090909,864
3.0,0.0,5,0,0.463,0.5,5.586651053864169,0.514431785325065,0.2361057313124138,48.85315747172828,15.808,51.09090909090909,854
3.0,1.0,5,0,0.463,0.5,3.052768286246075,0.36626075865080476,8.381203902338353,37.668866886229566,15.808,51.09090909090909,852
3.0,2.0,5,0,0.463,0.5,3.8567797316443038,0.5170444525027407,6.308384062874556,28.960796904104505,15.808,51.09090909090909,852
