scenario,bound,num_servers,h12,h21,L_1,L_2,L,W_1,W_2,W,U,Q_boundary,P_hit_boundary
C_prioritized_faster,16,1,0.0,0.0,0.3999999684476798,1.6250529934591864,2.025052961906867,0.39999999098505123,1.6300296493006918,1.0150148201428715,1.9683545198416785,0.004411499128815993,0.0006609347491069272
C_prioritized_faster,16,1,0.0,0.2,0.5571546693279927,1.2018851667651893,1.7590398360931827,0.4449013340937119,1.3141598277295363,0.8795305809116241,1.2496746192041184,5.786305760464416e-05,1.374906921590641e-05
C_prioritized_faster,16,1,0.0,0.4,0.6787363672185796,0.9771565608156834,1.6558929280342627,0.4796389620624506,1.1763292005736377,0.8279840813180441,0.9715790616027988,0.00020280756371344373,4.429399238563979e-05
C_prioritized_faster,16,1,0.0,0.6000000000000001,0.7676658044718553,0.8335689849600326,1.6012347894318877,0.5050473727062447,1.0963325394059524,0.8006899560560985,0.8260112623215708,0.00034559624842660995,7.162160321121095e-05
C_prioritized_faster,16,1,0.0,0.8,0.8342522370359738,0.7327248038914479,1.566977040927418,0.5240720677245642,1.043109800259456,0.7835909339920102,0.7387143397041321,0.0004576670350215491,9.098560730323927e-05
C_prioritized_faster,16,1,0.0,1.0,0.8857482776883034,0.6575324472084901,1.5432807248967932,0.5387852221966583,1.0047485020546862,0.7717668621256722,0.681605146598834,0.0005442092774273856,0.00010454058325827285
C_prioritized_faster,16,1,0.0,1.2000000000000002,0.9267310536089598,0.5990649375066154,1.5257959911155727,0.550494586745417,0.9755932065581006,0.7630438966517588,0.6418646414827252,0.0006121169468295009,0.0001142249876776813
C_prioritized_faster,16,1,0.0,1.4000000000000001,0.960131984691258,0.5521620849409348,1.512294069632195,0.5600377099117879,0.9525798083551902,0.756308759133489,0.6129017296378628,0.0006665527134554937,0.00012132347993174119
C_prioritized_faster,16,1,0.0,1.6,0.9878933288157125,0.5136168588218648,1.5015101876375765,0.5679695225187744,0.9338903205727735,0.750929921545774,0.59102137238536,0.0007110851391420751,0.00012665410978114365
C_prioritized_faster,16,1,0.0,1.8,1.011347119479302,0.481323572565791,1.4926706920450934,0.5746706055655147,0.9183717670787033,0.7465211863221091,0.5740100383448186,0.0007481738997173014,0.000130743681818405
C_prioritized_faster,16,1,0.0,2.0,1.0314357494939725,0.4538385847762184,1.4852743342701922,0.5804102141411351,0.9052545604920351,0.7428323873165852,0.5604700644531269,0.000779543537402233,0.00013393970533725374
C_prioritized_faster,16,1,0.0,2.2,1.0488443333169002,0.4301369085282468,1.4789812418451445,0.5853840952334001,0.8940037554946251,0.7396939253640126,0.5494803538595079,0.0008064300347763755,0.0001364775224273895
C_prioritized_faster,16,1,0.0,2.4000000000000004,1.064082860349678,0.40946944332257423,1.473552303672254,0.5897379600999085,0.8842350332392902,0.7369864966695994,0.5404119381048917,0.0008297390172571047,0.00013852057671982947
C_prioritized_faster,16,1,0.0,2.6,1.0775388546912346,0.39127522991817953,1.468814084609415,0.5935825299117804,0.8756646196057828,0.7346235747587816,0.5328222728840365,0.0008501478986808195,0.00014018502776724578
C_prioritized_faster,16,1,0.0,2.8000000000000003,1.089512135407181,0.3751253808035049,1.4646375162106888,0.5970034672591954,0.8680780782614617,0.7325407727603286,0.526391909287651,0.0008681729907580532,0.00014155516395698568
C_prioritized_faster,16,1,0.0,3.0,1.100238373988138,0.3606860484126243,1.4609244224007623,0.6000681068537528,0.8613101290279904,0.7306891179408717,0.520885092919825,0.0008842145162986917,0.00014269329654325325
C_prioritized_faster,16,1,0.2,0.0,0.3790725610220306,1.6766181027878193,2.055690663809846,0.4307599605889678,1.6311630256666942,1.030961493127831,2.028987605296686,0.005424086635411489,0.0008133698509423645
C_prioritized_faster,16,1,0.2,0.2,0.5136496044229057,1.2749124643378456,1.7885620687607515,0.4685330411491716,1.320151727332076,0.8943423842406237,1.3424582290216103,8.593965598788533e-05,2.1225590110418447e-05
C_prioritized_faster,16,1,0.2,0.4,0.6217410319350424,1.0571539822264675,1.6788950141615102,0.496070028161473,1.1828306419782741,0.8394503350698735,1.0689361491223934,2.997516641833661e-05,1.0054719490421188e-05
C_prioritized_faster,16,1,0.2,0.6000000000000001,0.7062547867647502,0.9131463271567648,1.619401113921516,0.5169552119350799,1.1024544669011564,0.8097048394181181,0.9182203322479419,7.754255213003528e-05,2.3607965258657024e-05
C_prioritized_faster,16,1,0.2,0.8,0.7727667291826177,0.8090421482138587,1.5818088773964754,0.5331060642236817,1.0487215981583766,0.7909138311910291,0.8238460223561956,0.0001373441933472787,3.910207966260908e-05
C_prioritized_faster,16,1,0.2,1.0,0.8260537958869411,0.7296932674640049,1.5557470633509458,0.5458950876855755,1.0098838485230717,0.7778894681043236,0.7601045182965541,0.00019835788955774506,5.352842054575626e-05
C_prioritized_faster,16,1,0.2,1.2000000000000002,0.869563471663599,0.6669568066955093,1.5365202783591094,0.556251027611793,0.980315414972227,0.76828322129201,0.7146819884250413,0.000256395843621392,6.616596961893302e-05
